Unnamed: 0,run_id,time_step,opinion,out_belief,in_belief,group_type,tau,alpha,participation,group,appr_belief,disappr_belief
0,0,0,0.7399723858624612,0.2857142857142857,0.7142857142857143,treatment,0.3,0.1,0.0,Extensive inst.,0.7142857142857143,0.2857142857142857
2,1,1,0.7399723858624612,0.3547614312995547,0.6068781028495278,treatment,0.3,0.1,0.9423076923076924,Extensive inst.,0.6068781028495278,0.3547614312995547
4,1,2,0.7399723858624612,0.3543049058598264,0.6233105502811416,treatment,0.3,0.1,0.9423076923076924,Extensive inst.,0.6233105502811416,0.3543049058598264
6,1,3,0.7399723858624612,0.3541369248895467,0.6335840653765695,treatment,0.3,0.1,0.9230769230769232,Extensive inst.,0.6335840653765695,0.3541369248895467
8,1,4,0.7399723858624612,0.3524926807381177,0.6422631459646031,treatment,0.3,0.1,0.9615384615384616,Extensive inst.,0.6422631459646031,0.3524926807381177
10,1,5,0.7399723858624612,0.3515955559251406,0.6462205967041492,treatment,0.3,0.1,0.8846153846153846,Extensive inst.,0.6462205967041492,0.3515955559251406
12,1,6,0.7399723858624612,0.351554415119652,0.6492327419859666,treatment,0.3,0.1,0.903846153846154,Extensive inst.,0.6492327419859666,0.351554415119652
14,1,7,0.7399723858624612,0.3503059611589269,0.651110366416941,treatment,0.3,0.1,0.8846153846153846,Extensive inst.,0.651110366416941,0.3503059611589269
16,1,8,0.7399723858624612,0.3505292116224252,0.6160282010848886,treatment,0.3,0.1,0.8461538461538461,Extensive inst.,0.6160282010848886,0.3505292116224252
18,1,9,0.7399723858624612,0.3511838743650197,0.6283840330988238,treatment,0.3,0.1,0.8846153846153846,Extensive inst.,0.6283840330988238,0.3511838743650197
20,1,10,0.7399723858624612,0.3513139354274519,0.6381913261886661,treatment,0.3,0.1,0.9807692307692308,Extensive inst.,0.6381913261886661,0.3513139354274519
22,1,11,0.7399723858624612,0.3520164449688368,0.6447652087194771,treatment,0.3,0.1,0.9423076923076924,Extensive inst.,0.6447652087194771,0.3520164449688368
24,1,12,0.7399723858624612,0.3512838064905556,0.6445829120227742,treatment,0.3,0.1,0.903846153846154,Extensive inst.,0.6445829120227742,0.3512838064905556
26,1,13,0.7399723858624612,0.3508760886507022,0.6483929201931157,treatment,0.3,0.1,0.9230769230769232,Extensive inst.,0.6483929201931157,0.3508760886507022
28,1,14,0.7399723858624612,0.3508478728348131,0.6511644686114669,treatment,0.3,0.1,0.8846153846153846,Extensive inst.,0.6511644686114669,0.3508478728348131
30,1,15,0.7399723858624612,0.3511583779108458,0.6502575799259732,treatment,0.3,0.1,0.9423076923076924,Extensive inst.,0.6502575799259732,0.3511583779108458
32,1,16,0.7399723858624612,0.3513871976900874,0.6140297814643617,treatment,0.3,0.1,0.8653846153846154,Extensive inst.,0.6140297814643617,0.3513871976900874
34,1,17,0.7399723858624612,0.351748214508717,0.6253075795516403,treatment,0.3,0.1,0.903846153846154,Extensive inst.,0.6253075795516403,0.351748214508717
36,1,18,0.7399723858624612,0.351341620269032,0.637001218887409,treatment,0.3,0.1,0.9230769230769232,Extensive inst.,0.637001218887409,0.351341620269032
38,1,19,0.7399723858624612,0.3509775865310974,0.6443150490485905,treatment,0.3,0.1,1.0,Extensive inst.,0.6443150490485905,0.3509775865310974
40,1,20,0.7399723858624612,0.3512218019807822,0.6478147432229553,treatment,0.3,0.1,0.9230769230769232,Extensive inst.,0.6478147432229553,0.3512218019807822
42,1,21,0.7399723858624612,0.3508150018799865,0.6500391183162113,treatment,0.3,0.1,0.9423076923076924,Extensive inst.,0.6500391183162113,0.3508150018799865
44,1,22,0.7399723858624612,0.3515381860235261,0.6095191696150798,treatment,0.3,0.1,0.9807692307692308,Extensive inst.,0.6095191696150798,0.3515381860235261
46,1,23,0.7399723858624612,0.3507776622783031,0.6264076156364571,treatment,0.3,0.1,0.9615384615384616,Extensive inst.,0.6264076156364571,0.3507776622783031
